"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"27","353.31071802133624","69.46131828568006","4.610138587259289","0","0.04800000000000004","0.0354","0.06059999999999999","1244.4444444444443","0.0004581320275606014","0","0.0004581320275606014","0.0004581320275606014","","","true"
"28","66.2376469580213","13.3029644792872","4.516890093595966","0","0.0131","0.019199999999999995","0.007","1244.4444444444443","0.0004867386496378422","0","0.0004867386496378422","0.0004867386496378422","28_27:0.018933048721228807","28_27:561.7777777777777","true"
"29","411.65065532018036","210.208851170798","4.460013707307682","0","0.01990000000000003","0.019","0.02080000000000004","1244.4444444444443","0.00012592167643620485","0","0.00012592167643620485","0.00012592167643620485","29_30:0.014743993127014715;29_28:0.01052525409027516","29_30:561.7777777777777;29_28:561.7777777777777","true"
"30","302.42093654678524","130.17042088064244","4.646610552690691","0","0.07210000000000005","0.07379999999999998","0.0704","1244.4444444444443","0.001770670188965176","0","0.001770670188965176","0.001770670188965176","","","true"
"31","396.0524764171481","186.9016445431958","4.613034004449991","0","0.010699999999999932","0.0134","0.008000000000000007","1244.4444444444443","0.0003342840006619781","0","0.0003342840006619781","0.0003342840006619781","31_30:0.013166801126399313;31_32:0.0073556472789355065","31_30:561.7777777777777;31_32:561.7777777777777","true"
"32","304.1944771959706","102.2617587268093","4.499282242559392","0","0.006199999999999983","0.007","0.00539999999999996","1244.4444444444443","0.00013683545234916412","0","0.00013683545234916412","0.00013683545234916412","","","true"
"33","218.62748625595148","192.4446787117835","4.596923627408367","0","0.0020999999999999908","0.0031999999999999806","0.001","1244.4444444444443","0.00018895968662282426","0","0.00018895968662282426","0.00018895968662282426","33_20:0.006416413594822312;33_39:0.007938461619879572","33_20:561.7777777777777;33_39:561.7777777777777","true"
"34","133.31148026994555","59.378386817927094","4.562132660940067","0","0.005199999999999982","0.009000000000000008","0.0014","1244.4444444444443","0.0003104920395496334","0","0.0003104920395496334","0.0003104920395496334","34_24:0.013090051173798467","34_24:561.7777777777777","true"
"35","394.1528580227879","113.36045061399736","4.721876962936168","0","0.0050000000000000044","0.006399999999999961","0.0036","1244.4444444444443","0.0004839901781472297","0","0.0004839901781472297","0.0004839901781472297","35_47:0.01369917820482322;35_28:0.015092041190983563","35_47:561.7777777777777;35_28:561.7777777777777","true"
"36","334.90902324952265","243.94084616757638","4.608009489586575","0","0.0042999999999999705","0.0043999999999999595","0.0042","1244.4444444444443","0.00015744225338165543","0","0.00015744225338165543","0.00015744225338165543","36_32:0.005734814534546467;36_51:0.005326051508355273","36_32:561.7777777777777;36_51:561.7777777777777","true"
"37","389.36291846039774","223.34129643098922","4.497683966433011","0","0.0040999999999999925","0.0042","0.0040000000000000036","1244.4444444444443","0.000295695128022316","0","0.000295695128022316","0.000295695128022316","37_38:0.01209894532154307;37_52:0.013743210160683","37_38:561.7777777777777;37_52:561.7777777777777","true"
"38","391.19199054679746","147.66064344944672","4.458559407040649","0","0.02210000000000001","0.02200000000000002","0.0222","1244.4444444444443","0.0004289625143631469","0","0.0004289625143631469","0.0004289625143631469","","","true"
"39","385.3586287611557","65.15496711159491","4.504366448853542","0","0.0033000000000000806","0.0036000000000000476","0.003","1244.4444444444443","0.00037157685271536103","0","0.00037157685271536103","0.00037157685271536103","39_38:0.01280772210437034","39_38:561.7777777777777","true"
"40","457.6517364964724","34.18754082793084","4.464346061503168","0","0.006799999999999917","0.008199999999999985","0.0054","1244.4444444444443","0.00023996736256128823","0","0.00023996736256128823","0.00023996736256128823","40_39:0.0111627406479414;40_41:0.015283170729830348","40_39:561.7777777777777;40_41:561.7777777777777","true"
"41","187.9973228046668","270.47381548964955","4.5758980573577315","0","0.0044999999999999485","0.005199999999999982","0.0038","1244.4444444444443","0.00011964928931688748","0","0.00011964928931688748","0.00011964928931688748","","","true"
"42","296.9561715582445","78.5200609795428","4.641378858794129","0","0.0024999999999999467","0.0028000000000000247","0.0022","1244.4444444444443","0.00015712287210708123","0","0.00015712287210708123","0.00015712287210708123","42_41:0.006916821330742229;42_43:0.007435462267631837","42_41:561.7777777777777;42_43:561.7777777777777","true"
"43","216.52644469644403","169.1993509169113","4.523114227733506","0","0.0035000000000000586","0.005199999999999982","0.0018","1244.4444444444443","0.00016674430544651286","0","0.00016674430544651286","0.00016674430544651286","43_34:0.0077848719210793504","43_34:561.7777777777777","true"
"44","216.5460781097749","146.5589181688866","4.594686444157476","0","0.018299999999999983","0.02080000000000004","0.0158","1244.4444444444443","0.00040886908599070476","0","0.00040886908599070476","0.00040886908599070476","44_43:0.018954190893906236","44_43:561.7777777777777","true"
"45","282.0154515342644","111.88304626540084","4.630447945854299","0","0.005400000000000071","0.010199999999999987","0.0006","1244.4444444444443","0.00032968199006607753","0","0.00032968199006607753","0.00032968199006607753","45_44:0.008643508838812874;45_46:0.020731886353209966","45_44:561.7777777777777;45_46:561.7777777777777","true"
"46","343.1626054251651","52.81470893157938","4.7101152763183185","0","0.007000000000000006","0.010800000000000032","0.0032","1244.4444444444443","0.0010526642833078351","0","0.0010526642833078351","0.0010526642833078351","46_47:0.018696805451209747","46_47:561.7777777777777","true"
